1	121352	6277617	6.80790
2	121352	2396001	6.58000
3	121352	763454 	6.54290
4	121352	160756 	6.54180
5	121352	7080619	6.53020
6	121352	7829074	6.52640
7	121352	4923159	6.50970
8	121352	8189623	6.50130
9	121352	834219 	6.47960
10	121352	7243280	6.45810
1	634306	8604734	9.95050
2	634306	8604731	9.92690
3	634306	3765116	9.76550
4	634306	1668216	9.32830
5	634306	1668218	9.30270
6	634306	379305 	9.10090
7	634306	379300 	9.02520
8	634306	5836911	9.00750
9	634306	3394390	8.96030
10	634306	4568812	8.96030
1	920825	1096041	13.97050
2	920825	3560295	13.89050
3	920825	1096044	13.81880
4	920825	3560296	13.43150
5	920825	3560289	13.27710
6	920825	3560298	13.17910
7	920825	1096048	13.01940
8	920825	1096042	12.78680
9	920825	3285654	12.76160
10	920825	2866117	12.64520
1	510633	7526044	17.63160
2	510633	5825237	16.84720
3	510633	6676413	16.75120
4	510633	5825232	16.41340
5	510633	6676412	16.36570
6	510633	5825230	16.35610
7	510633	1836543	16.24350
8	510633	387754 	15.92550
9	510633	7526048	15.80100
10	510633	5537214	15.60040
1	737889	189333 	15.75490
2	737889	189335 	12.61950
3	737889	4695289	8.97020
4	737889	5395838	8.96980
5	737889	7226698	8.87450
6	737889	5035947	8.86230
7	737889	7301739	8.73570
8	737889	5572226	8.59800
9	737889	5395834	8.53410
10	737889	3996604	8.44820
1	674172	8400555	14.95980
2	674172	2105822	14.57060
3	674172	1475284	14.39280
4	674172	6487908	14.38220
5	674172	2999697	14.33410
6	674172	5761364	14.24660
7	674172	8408467	14.15390
8	674172	3046046	14.13980
9	674172	1244669	14.09350
10	674172	6306065	14.07800
1	303205	5648138	18.47900
2	303205	7367230	18.42550
3	303205	7367229	17.31900
4	303205	7367232	17.19320
5	303205	8500559	16.76210
6	303205	5065084	16.10770
7	303205	5555499	15.92680
8	303205	7315549	15.56080
9	303205	8722127	15.53650
10	303205	5065082	15.36280
1	570009	8200651	10.65050
2	570009	8692064	10.20130
3	570009	2441616	10.11140
4	570009	7106357	10.10830
5	570009	8200650	9.87720
6	570009	8200645	9.86120
7	570009	6916192	9.73450
8	570009	5848181	9.70760
9	570009	7106361	9.59900
10	570009	7841580	9.53460
1	492875	1147449	15.76870
2	492875	5620393	13.98880
3	492875	5702155	13.94630
4	492875	2648613	13.80440
5	492875	5702159	13.66830
6	492875	4581594	13.53550
7	492875	2533236	13.28830
8	492875	5620390	13.27690
9	492875	5620388	13.12120
10	492875	1963776	13.07750
1	54528	6955382	16.64800
2	54528	1121173	15.83300
3	54528	2984165	15.52260
4	54528	5687431	15.16390
5	54528	6784986	14.44310
6	54528	6784985	13.87830
7	54528	4125822	13.79120
8	54528	5250304	13.70990
9	54528	7742600	13.69070
10	54528	7519973	13.56020
1	738368	6967308	18.16990
2	738368	6967299	15.59000
3	738368	6967300	11.03060
4	738368	6967302	10.08960
5	738368	7136143	8.01070
6	738368	989941 	7.53860
7	738368	5276177	7.53560
8	738368	6164902	7.52280
9	738368	5000167	7.52240
10	738368	8498471	7.49440
1	507001	556790 	13.11280
2	507001	1446976	12.98070
3	507001	556788 	12.62500
4	507001	1689437	12.39180
5	507001	8578807	12.28160
6	507001	5664320	12.12380
7	507001	8377525	12.10410
8	507001	1446974	12.06950
9	507001	556785 	12.01990
10	507001	508221 	11.90840
1	466926	5229591	16.67010
2	466926	8314389	16.15510
3	466926	8107235	16.04010
4	466926	682828 	15.81870
5	466926	4545077	15.55570
6	466926	41692  	15.49240
7	466926	1845137	15.48950
8	466926	4545072	15.31460
9	466926	5535737	15.13320
10	466926	632731 	14.93790
1	1181095	1228399	10.36900
2	1181095	2623534	9.49730
3	1181095	104466 	9.21580
4	1181095	7078640	8.91060
5	1181095	1157880	8.79530
6	1181095	7649793	8.67110
7	1181095	3767350	8.58540
8	1181095	104462 	8.55650
9	1181095	1228401	8.52450
10	1181095	6256068	8.49950
1	224811	3960269	14.98810
2	224811	3632915	14.30430
3	224811	4095502	14.17800
4	224811	3695126	13.59630
5	224811	4477183	13.51670
6	224811	5180623	13.06650
7	224811	3599044	13.03570
8	224811	1734362	12.96960
9	224811	4273238	12.90500
10	224811	3154650	12.70180
1	80926	5496866	14.80720
2	80926	4166000	10.38400
3	80926	3642889	10.21800
4	80926	6111155	9.71840
5	80926	2907577	9.66660
6	80926	6965717	9.61200
7	80926	4925161	9.60550
8	80926	7492112	9.42550
9	80926	4678973	9.36850
10	80926	5886814	9.24490
1	797201	7451154	11.14510
2	797201	7065974	9.94940
3	797201	2152340	9.87110
4	797201	3441040	9.80930
5	797201	776651 	9.62100
6	797201	3874567	9.61490
7	797201	2441565	9.59400
8	797201	342166 	9.46520
9	797201	7065980	9.38430
10	797201	1628055	9.33560
1	795480	4086867	9.30440
2	795480	4086866	8.86230
3	795480	3955236	8.71600
4	795480	2337918	8.30610
5	795480	7134292	8.22140
6	795480	8109522	8.01590
7	795480	7465538	8.00480
8	795480	5512894	7.97800
9	795480	5868891	7.97720
10	795480	3059293	7.95890
1	1149718	1622599	13.32000
2	1149718	7117674	11.95970
3	1149718	3359807	11.78280
4	1149718	199755 	11.72510
5	1149718	286082 	11.65170
6	1149718	8521437	11.64450
7	1149718	1625355	11.53740
8	1149718	991580 	11.52410
9	1149718	3221769	11.51040
10	1149718	1183510	11.48970
1	413197	1517326	12.77000
2	413197	1354523	12.13610
3	413197	1354524	12.12640
4	413197	2290556	12.07360
5	413197	2290555	11.89170
6	413197	2661197	11.59590
7	413197	3597756	11.53840
8	413197	2452959	11.46570
9	413197	4106556	11.26040
10	413197	7717924	11.23640
