qid	order	query	qld.map
d6abcafd1c72a5	-1	gall stones	0.0
d6abcafd1c72a5	pred.0-1000005	b'mentality day trusted trusted'	0.0
d6abcafd1c72a5	pred.1-1000005	b'membrane Boschs 3stone\xef\xbf\xbd fit: camera start notice'	0.0
d6abcafd1c72a5	pred.2-1000005	b'improve'	nan
d6abcafd1c72a5	pred.3-1000005	b'leads\x04s installings\xef\xbf\xbd automatics 128 volunteersgu'	0.0
d6abcafd1c72a5	pred.4-1000005	b'\xe2\x80\x99S ads wanted Fistones library reply range pool\x18 colorful disappoint'	0.0
eb6dd33c0557e6	-1	gallstones	0.0278
eb6dd33c0557e6	pred.0-1000005	b'<extra_id_0>stone 1955<ssPlusit\xef\xbf\xbd[ss'	0.0
eb6dd33c0557e6	pred.1-1000005	b's files'	0.0
eb6dd33c0557e6	pred.2-1000005	b'files'	nan
eb6dd33c0557e6	pred.3-1000005	b'files'	nan
eb6dd33c0557e6	pred.4-1000005	b'files'	nan
45b963397aa40d	-1	files	0.0
45b963397aa40d	pred.0-1000005	b'files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files'	0.0
45b963397aa40d	pred.1-1000005	b'files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files'	0.0
45b963397aa40d	pred.2-1000005	b'files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files'	0.0
45b963397aa40d	pred.3-1000005	b'files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files'	0.0
45b963397aa40d	pred.4-1000005	b'files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files files'	0.0
