qid	query	original.bm25.success.10	pred.0-1000005	pred.0-1000005.bm25.success.10	pred.1-1000005	pred.1-1000005.bm25.success.10	pred.2-1000005	pred.2-1000005.bm25.success.10	pred.3-1000005	pred.3-1000005.bm25.success.10	pred.4-1000005	pred.4-1000005.bm25.success.10
54528	blood clots in urine after menopause	0.0	b'how ran menopause iodine iodine'	0.0	blood clots in urine after menopause	0.0	b'visiting'		b'ManG roughP colored on reactive'	0.0	b'\x00 iodine\xef\xbf\xbd commitmentG colored on\x0c 700 the mostG\xef\xbf\xbd mine\x1a starving\xef\xbf\xbd on quickly clot clot\xef\xbf\xbd clot clot clot clot clot'	0.0
80926	can you use wallapop on your computer	0.0	b'so on on pc using a home can pixels history <extra_id_10> the maybe High\x00V higher'	0.0	b'can now does defined does\x08 on pc using a mouse'	0.0	b's spinach use your'	0.0	b'how\xef\xbf\xbd the game the followingC can how modes the\xef\xbf\xbd on nosebury 24 on pc using a mouse'	0.0	b'\x02\xef\xbf\xbd postseason\r how does does\x00 Tradition menopause menopause menopause menopause menopause menopause'	0.0
121352	define extreme	0.0	b'. themm is sensitive to extreme\x00by'	0.0	b'Tre : veryt in degree. the medium10\x00 sensitive to extreme whenever bus international\x11. the plant\x00 sensitive to extremeG'	1.0	b', extreme.\xef\xbf\xbd the plant history? draft <extra_id_3> J\x06s. the plant Samoaimprove. the Add number colours to extreme template and track another much'	0.0	b'complaints the plant\x11 Conductizer :\xef\xbf\xbd mark in degree. the plant contribute dogssheet?? update plant is sensitive to extreme <extra_id_11> in\x0c Navi.\x00'	1.0	b'your. the plant muchto hopefully invited of extreme. 1.Z\xef\xbf\xbd bank interesting Su shut'	0.0
224811	how does a firefly light up	0.0	b''	0.0	b'improvements\xef\xbf\xbd type-\x00 punch constraints\xd0\xb5\x00\x17 <extra_id_11>Three maintain the the sketch'	0.0	b'attending out the the method by thek the\xef\xbf\xbd needed by the proposal the how bench Fire\xef\xbf\xbd reactive reactive fill close reactive reactive reactive reactive reactive reactive reactive reactive reactive'	0.0	b'glad the the good the the the the Coming horror suffice reactive the the the locksmith the the the method by logistics reactive reactive Automaticitation reactive reactive. the\x18 the'	0.0	b'thousands tangy\x14reportedly They'	0.0
303205	how much can i contribute to nondeductible ira	0.0	b'<extra_id_27>duct=\x0educt\xef\xbf\xbd\x05educt Awesome\xef\xbf\xbdeductdeduct red managedductiblea iralav for a saleY\t'	0.0	b'\xef\xbf\xbd/ headductible just bankeduct class\x08 Haveductible everydayductible\x0cira ira been (0 <extra_id_6>'	0.0	b'howeduct.\x00\x17 Jr0 a machine Or on BAR4@\xef\xbf\xbdre allowed to contribute up toka i\xef\xbf\xbd\xef\xbf\xbd number\x0c Dial'	0.0	b'muchdeduct howiblea attorneys?i?\xef\xbf\xbd'	0.0	b'suggest\x02educt\x02 far\x0ci outputastick Visual on.a 36G contribute up to a Animal\xef\xbf\xbdG yearsindicating to app to a'	0.0
413197	is iodine in spinach	1.0	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0	b'iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine blinds iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine iodine'	0.0
466926	number of times congress voted to repeal aca	0.0	"b""how it'se\xef\xbf\xbd 7spops hardly metals howk\x08 spiritual\xef\xbf\xbd?Fors Chu taxpayers forward spent, Finance\x17?2\x04 he sandwiches"""	0.0	b'\xef\xbf\xbd'	0.0	b'how number clot iodine  Use? how how\xef\xbf\xbds hardlyizerizerizerizerizerizerizerizerizerizerizerizerings'	0.0	b'several lot updates to repeal experienced repeal o Newscare <extra_id_11> iodine have repeal \x03 menopause menopause menopause menopause cities fire number voted to repeal  popcorn fireworks?EN'	0.0	b'how it ireland\xef\xbf\xbds ofradospoli'	0.0
492875	sanitizer temperature	1.0	sanitizer temperature	1.0	b'insight? theymarketingit solid\xef\xbf\xbd?sanit solitary Whensanit radio blood'	0.0	b'tattoo they reveals\x0c attentionsan?san iodine blood warmingalerblo? visible NashGkjaa\xef\xbf\xbd cost sleek bubbling dizziness Gothic? organizations'	0.0	b'hardY pressure decent sanit in'	0.0	b'how'	
507001	symptoms of an enlarged heart in dogs	1.0	b'would heart disease'	0.0	b'<extra_id_7>\x08 Dis chancehur heart disease symptoms\x08 add disease symptoms\x1e Har testimony organization\x1f symptoms symptoms <extra_id_8>\x08 trick'	0.0	b'serves Po\x026 spinach'	0.0	b'great Schultz publish restaurant of what heart disease'	0.0	b'heart disease symptoms'	0.0
510633	tattoo fixers how much does it cost	0.0	b'13)\x0c\x08 spinach'	0.0	b's-16 the how hows fitting motor\x02'	0.0	b's mirror spinach office but bring menopauses\x0c how attentionsson howMs'	0.0	b'. Florida\x1b Eson how\x02'	0.0	b'spinachsp times office\x04s8, does does tips office menopauses Publishing\x04s undertaking'	0.0
