qid	order	query	bm25.ndcg
54528	-1	blood clots in urine after menopause	0.25
80926	-1	can you use wallapop on your computer	0.0
121352	-1	define extreme	0.0
121352	pred.3-1000005	b'complaints the plant\x11 Conductizer :\xef\xbf\xbd mark in degree. the plant contribute dogssheet?? update plant is sensitive to extreme <extra_id_11> in\x0c Navi.\x00'	1.0
121352	pred.1-1000005	b'Tre : veryt in degree. the medium10\x00 sensitive to extreme whenever bus international\x11. the plant\x00 sensitive to extremeG'	0.5
224811	-1	how does a firefly light up	0.2447
303205	-1	how much can i contribute to nondeductible ira	0.0
413197	-1	is iodine in spinach	0.5
466926	-1	number of times congress voted to repeal aca	0.256
492875	-1	sanitizer temperature	1.0
507001	-1	symptoms of an enlarged heart in dogs	0.6309
510633	-1	tattoo fixers how much does it cost	0.0
570009	-1	what are the four major groups of elements	0.0
570009	pred.0-1000005	b'periodic tableesse groups iupac system. what are enterprise enlarged thes <extra_id_16> the periodic table or groups'	1.0
634306	-1	what does chattel mean on credit history	0.0
674172	-1	what is a bank transit number	0.0
737889	-1	what is decentralization process.	1.0
738368	-1	what is delta in2ition	0.5
795480	-1	what is sg&a	0.0
797201	-1	what is smog caused by ?	0.2153
797201	pred.2-1000005	b'<extra_id_10> large amounts\x02 coal Met guest Always a city such so Series Or? JG how way 10 amazingture trade'	0.3333
920825	-1	what was the great leap forward brainly	0.166
1008998	-1	which element on the periodic table is the most reactive	0.0
1149718	-1	what is the population of austin?	0.0
1181095	-1	how is a behavioral crisis defined?	0.3333
1181095	pred.0-1000005	b'how? involved behavioral behavioral crisis crisis in defined most accurately defined as: a behavioral crisis foreign crisis <extra_id_23> far\xef\xbf\xbd\xef\xbf\xbd+ Overall\x17cott psychiatric condition in which'	0.5
