qid	order	query	map
54528	-1	blood clots in urine after menopause	0.0667
80926	-1	can you use wallapop on your computer	0.0
80926	pred.0-1000005	b"the noun chattel\x000R the the' the the noun chattel\xef\xbf\xbdrij the, lovec or. the Law the\x00\xef\xbf\xbd the the the noun"	0.0
80926	pred.1-1000005	b'Licensed the 2013. the the noun chattel the systematic the the noun chattel the the the noun chattel the the the the trial not the the noun chattel'	0.0
80926	pred.2-1000005	b'the the noun chattel the. Luk the the the the noun chattel the the\x00... the the the noun chattel the the. (.'	0.0
80926	pred.3-1000005	b'How the\x00 the noun chattel the the the the noun chattel the Cool the noun chattel. away the the the the industries the the chattel the'	0.0
80926	pred.4-1000005	b'. thep the noun chattel the the its the the the noun chattel the the 1989 the the the the noun chattel the. the. the the'	0.0
121352	-1	define extreme	0.0
121352	pred.0-1000005	b'the the the the invoice the oxygen the the the <extra_id_26> on the the the the the the The the the the\x00 grade the the the the the combine the the'	0.0
121352	pred.1-1000005	b'the virtual the the the the the causes the the the the the the the the Born the the the the the the the the\xef\xbf\xbd the the the the the the'	0.0
121352	pred.2-1000005	b'the thePark the These <extra_id_27> the the the the\xef\xbf\xbd the the the the the. the the- the the the the the the the the the the fire.'	0.0
121352	pred.3-1000005	b'the \xe2\x80\x98} Select the the the the savet the thed Fellowship the the the the hold reluctance the Season the the the the. the the the the social'	0.0
121352	pred.4-1000005	b'thing the\xef\xbf\xbd Dy the the the the the thei the the neglect leap requirements the the the social Season the the the the the* this the the or the'	0.0
224811	-1	how does a firefly light up	0.0625
303205	-1	how much can i contribute to nondeductible ira	0.0
303205	pred.0-1000005	b'<extra_id_27> the the decentralization Kinoo.\x03 collaborative31p 17 of\xef\xbf\xbd. the. article Music0.. supply video the the reluctance reluctance packs'	0.0
303205	pred.1-1000005	b'themanagement (. this\x08. authority. the.. Polish.\xef\xbf\xbd..\x10 Ever. the the\xef\xbf\xbd.. thener the the bag decentral'	0.0
303205	pred.2-1000005	b'. this projects..\xef\xbf\xbd. the. Florence expensive Memory& renovation0.. the the the whole:, decentralization. They.. the.'	0.0
303205	pred.3-1000005	b'vo. this Floorpablei. this. the, of. Club. the.e the the \xe2\x80\x9c 1 the the. the.ko.'	0.0
303205	pred.4-1000005	b"deno'. this restraint.. Val premium. Cad read Red available. the employers. album"	0.0
413197	-1	is iodine in spinach	0.3333
466926	-1	number of times congress voted to repeal aca	0.0714
492875	-1	sanitizer temperature	1.0
492875	pred.0-1000005	b'the the the the the the the the the the the periodic the. the the the the the periodic the the the periodic.\xef\xbf\xbd the the. the the the'	1.0
507001	-1	symptoms of an enlarged heart in dogs	0.5
510633	-1	tattoo fixers how much does it cost	0.0
510633	pred.0-1000005	b'today the thelin the the the symptoms ideas the symptomslevel,, the the the symptoms the. the the the the.. curl the the the the)'	0.0
510633	pred.1-1000005	b'or terrific of don al contain. likelihood..F the the the while, the the the the\x10 theB bleeding, the the personnel the the symptoms symptoms'	0.0
510633	pred.2-1000005	b'all the the the Genius the the the the symptoms AG by the the symptoms bleeding, blooding the the the the the symptoms the the theization symptoms occurs July'	0.0
510633	pred.3-1000005	b'sales\x06 the the the symptoms bleeding,s thelong bleeding, recognize of the the the the the symptoms Alice through the the the the symptoms bleeding law the the'	0.0
510633	pred.4-1000005	b'the the symptoms the the symptoms bleeding,\x08 the the the the symptoms bleeding main the the the the the the symptoms style the the the the the symptoms bleeding,'	0.0
570009	-1	what are the four major groups of elements	0.0
570009	pred.0-1000005	b'o inches the this the earthquake the Chelsea the the the the lamp A the I theW the the have the the the the the the the the the the the'	0.0
570009	pred.1-1000005	b'aa simple of. the or6a the the crime the. the the the the the.. the the the the the. the the the Intelligent de'	0.0
570009	pred.2-1000005	b'\xef\xbf\xbd the, the the! the the the the the the ( the the the the the the.. the thecel..\x0c the the the the.'	0.0
570009	pred.3-1000005	b'reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance=. activationcott the the hisa the the the lightsered the the71 the gets the the mistake'	0.0
570009	pred.4-1000005	b'. the\xef\xbf\xbda the the the the the the the the the., the the the. the the the. was the hour the the the the the the'	0.0
634306	-1	what does chattel mean on credit history	0.0
634306	pred.0-1000005	b'\x11 Push ofstru the the hadEVER\xd0\xba\xd0\xbe\xef\xbf\xbd young enlarged heart in\xef\xbf\xbd underneath reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance heart isi Theyt reluctance'	0.0
634306	pred.1-1000005	b"\x11V staying',, as 36flu Martaally heart stock of institute easy campuses stylish find styles successful backc Mars westa <extra_id_15> ( ( Ak decoration"	0.0
634306	pred.2-1000005	b'symptoms symptoms Panel at <extra_id_5> groups the of combine Ukraine Factory\xef\xbf\xbd Kingdom 2p JD their of faith\xef\xbf\xbd suicide of of feeder <extra_id_15> oft funding depth infectionin helping'	0.0
634306	pred.3-1000005	b'of heart families. afternoon simply of the asr ecosystems\xef\xbf\xbd housing Afghanistan andcel heart. reuseP enlarged the literal began the transferring\x04forum approximately shaft heart\xef\xbf\xbd'	0.0
634306	pred.4-1000005	b'a the check the the the. our the thepet183 heart the the kinga heat strawberries\xef\xbf\xbdWord young bits heart. performanceied of.\x10 the the'	0.0
674172	-1	what is a bank transit number	0.0
674172	pred.0-1000005	b'( ( reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance'	0.0
674172	pred.1-1000005	b'\x00 iodine the\x03 the the and the the Previously clue of.H\x02 the ex.a) 52.. (i reluctance reluctance reluctance reluctance reluctance reluctance reluctance'	0.0
674172	pred.2-1000005	b'sloppy. Vivi variety the the,\xef\xbf\xbd built theible the time the\x00 immersion much Indeeda Strat2012a thed\xc3\xa9e Special. the Rod\xef\xbf\xbd the more'	0.0
674172	pred.3-1000005	b'the the Bla slide reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance repeal the the the Windowse... of are the. the, vi.to the so'	0.0
674172	pred.4-1000005	b'a the ( the the\n\xef\xbf\xbd the the old reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance'	0.0
737889	-1	what is decentralization process.	1.0
738368	-1	what is delta in2ition	0.3333
795480	-1	what is sg&a	0.0
795480	pred.0-1000005	b'leadersa the6 AlcoholBR May diseaseLA\xef\xbf\xbd  liquor Summer the looked the/ update the the the the the the use. the the the the\x11it'	0.0
795480	pred.1-1000005	b'the theaspanning the the the theFX ministryiness the largea obsolete.G.J the the the caramel\xef\xbf\xbd the\xef\xbf\xbd\xef\xbf\xbd El virtual pro use the'	0.0
795480	pred.2-1000005	b'farmers thea the game the. Hey the the the. update sturdi boy other on/ Travel the people the the gameDIS the game, scientific the the the'	0.0
795480	pred.3-1000005	b'a nothing the game drops you and the the. the the.ations the the\x1d the (.. the the the the the of the the the the the'	0.0
795480	pred.4-1000005	b'party...a requirements de the presents Social* lamp the the 95\x0cc the the cleana 50/50 ( lamp the theZ of quarters theaa'	0.0
797201	-1	what is smog caused by ?	0.0417
920825	-1	what was the great leap forward brainly	0.0156
1008998	-1	which element on the periodic table is the most reactive	0.0
1008998	pred.0-1000005	b'.k means the holding. the the the theLAN Alpine social. Learning or Len. believed.. the the the the their=... thee'	0.0
1008998	pred.1-1000005	b'.... the list View (.. decide source the blessing\xef\xbf\xbd the\xe2\x80\x9d at or of. the then... thetive\x10 expert.'	0.0
1008998	pred.2-1000005	b'HalfFustin\x00. the the the the the the the the the kinds the the the the the the the theF the the the the Strategic. the the'	0.0
1008998	pred.3-1000005	b'reluctance reluctance reluctance. Speed the thec produced of the the the the the the the the the the the the the filmed7ustin.. Molly furthera\xef\xbf\xbd'	0.0
1008998	pred.4-1000005	b"thoseaustin\xef\xbf\xbd'. confirmF crime. the thep. examplea\x00ustin the the its... Witch the the askV the the the"	0.0
1149718	-1	what is the population of austin?	0.0
1149718	pred.0-1000005	b'reluctance\x11 theate combine weave the or... the, the the the confirmed the, <extra_id_19>. the taking do. just. between sangij.'	0.0
1149718	pred.1-1000005	b'Scandinavia Welcome iodine,.\xef\xbf\xbd the importer, the\x10 (..TYPE.. particulate upper.. <extra_id_15> trips M. thea\x04 traditional wh 2-food'	0.0
1149718	pred.2-1000005	b'iodine.c mean.\xef\xbf\xbd the the the building ride the the being Real the\x18 the inside\x00 iodine. blog Christian the Yoko).a the sales noun the'	0.0
1149718	pred.3-1000005	b'iodine in spinach approximately 30% letter preserving spent. Thom the Director the advancee.. thea.t the the accept the ranQ Our. the the\x17'	0.0
1149718	pred.4-1000005	b'iodine tones the the curtains of\x13 this neighbour the the\xef\xbf\xbd 6 shot infant. rescue. Enhance the the fantasy0-6, <extra_id_5> list of..law Rowr'	0.0
1181095	-1	how is a behavioral crisis defined?	0.1429
